INDEX_CODE	CON_CODE	TRADE_DATE	TOTAL_SHARE	FREE_SHARE_RATIO	CALC_SHARE	WEIGHT_FACTOR	WEIGHT	CLOSE
000905.SH	002739.SZ	20260513	2111778708	70	1478245096	1	0.1256	9.41
000905.SH	002738.SZ	20260513	721491877	100	721491877	1	0.5486	84.24
000905.SH	002683.SZ	20260513	760002247	60	456001348	1	0.1678	40.77
000905.SH	002673.SZ	20260513	4469581705	60	2681749023	1	0.176	7.27
000905.SH	002670.SZ	20260513	1935084653	30	580525396	1	0.0673	12.84
000905.SH	002624.SZ	20260513	1939968404	70	1357977883	1	0.2065	16.85
000905.SH	002608.SZ	20260513	3778079704	20	755615941	1	0.056	8.21
000905.SH	002607.SZ	20260513	6167399389	80	4933919511	1	0.1189	2.67
000905.SH	002603.SZ	20260513	1670705376	50	835352688	1	0.1305	17.3
000905.SH	002595.SZ	20260513	1160000000	50	580000000	1	0.3044	58.14
000905.SH	002583.SZ	20260513	1818619381	60	1091171629	1	0.0986	10.01
000905.SH	002568.SZ	20260513	1048548555	50	524274278	1	0.0848	17.92
000905.SH	002558.SZ	20260513	1934750611	70	1354325428	1	0.3867	31.63
000905.SH	002984.SZ	20260513	1035885977	60	621531586	1	0.0905	16.13
000905.SH	003022.SZ	20260513	1335568000	30	400670400	1	0.0925	25.58
000905.SH	300395.SZ	20260513	522267673	80	417814138	1	0.5588	148.16
000905.SH	003031.SZ	20260513	451052859	40	180421144	1	0.2469	151.63
000905.SH	300390.SZ	20260513	830750788	70	581525552	1	0.5341	101.74
000905.SH	300383.SZ	20260513	1797592847	80	1438074278	1	0.2159	16.63
000905.SH	300373.SZ	20260513	543347787	60	326008672	1	0.2307	78.4
000905.SH	300346.SZ	20260513	691156903	100	691156903	1	0.3465	55.54
000905.SH	300339.SZ	20260513	796410841	100	796410841	1	0.3336	46.41
000905.SH	300285.SZ	20260513	997048299	80	797638639	1	0.2953	41.01
000905.SH	300223.SZ	20260513	482540723	70	337778506	1	0.4477	146.83
000905.SH	300207.SZ	20260513	1847462446	80	1477969957	1	0.351	26.31
000905.SH	300146.SZ	20260513	1691677031	60	1015006219	1	0.0967	10.55
000905.SH	300144.SZ	20260513	2624680340	60	1574808204	1	0.1055	7.42
000905.SH	300142.SZ	20260513	1599348541	100	1599348541	1	0.2245	15.55
000905.SH	300140.SZ	20260513	3099067016	20	619813403	1	0.0371	6.63
000905.SH	300136.SZ	20260513	967568638	100	967568638	1	0.9546	109.3
000905.SH	300115.SZ	20260513	1356056507	70	949239555	1	0.3074	35.87
000905.SH	300100.SZ	20260513	571982940	60	343189764	1	0.097	31.31
000905.SH	300073.SZ	20260513	544293668	80	435434934	1	0.2423	61.65
000905.SH	300070.SZ	20260513	3624209363	60	2174525618	1	0.076	3.87
000905.SH	300058.SZ	20260513	3590221227	100	3590221227	1	0.5901	18.21
000905.SH	300054.SZ	20260513	944543607	80	755634886	1	0.4426	64.89
000905.SH	300037.SZ	20260513	747782523	70	523447766	1	0.3049	64.53
000905.SH	300024.SZ	20260513	1565619950	80	1252495960	1	0.1735	15.35
000905.SH	300017.SZ	20260513	2459449777	100	2459449777	1	0.3881	17.48
000905.SH	300012.SZ	20260513	1682828214	100	1682828214	1	0.24	15.8
000905.SH	300003.SZ	20260513	1843396367	70	1290377457	1	0.1681	14.43
000905.SH	300002.SZ	20260513	1967173866	100	1967173866	1	0.1747	9.84
000905.SH	300001.SZ	20260513	1055537713	70	738876399	1	0.2191	32.85
000905.SH	003035.SZ	20260513	3787878787	30	1136363636	1	0.0807	7.87
000905.SH	689009.SH	20260513	717596528	80	574077222	1	0.213	41.1
