	INDEX_CODE	CON_CODE	TRADE_DATE	TOTAL_SHARE	FREE_SHARE_RATIO	CALC_SHARE	WEIGHT_FACTOR	WEIGHT	CLOSE
260	000300.SH	601919.SH	20260512	12609935239		6304967620	1	0.3288	14.09
259	000300.SH	601916.SH	20260512	21544435963		15081105174	1	0.168	3.01
258	000300.SH	601901.SH	20260512	8232101395		4116050698	1	0.1111	7.29
257	000300.SH	601899.SH	20260512	20588703340		16470962672	1	2.1083	34.58
256	000300.SH	601898.SH	20260512	9152000400		1830400080	1	0.1097	16.19
255	000300.SH	601888.SH	20260512	1952475544		976237772	1	0.2224	61.55
253	000300.SH	601878.SH	20260512	4573796639		2744277983	1	0.1015	9.99
246	000300.SH	601818.SH	20260512	46406815561		18562726224	1	0.2164	3.15
252	000300.SH	601877.SH	20260512	2148968976		1074484488	1	0.1316	33.09
251	000300.SH	601872.SH	20260512	8074538502		3229815401	1	0.2127	17.79
250	000300.SH	601868.SH	20260512	34977747243		13991098897	1	0.1719	3.32
249	000300.SH	601857.SH	20260512	161922077818		11334545447	1	0.4695	11.19
248	000300.SH	601838.SH	20260512	4238435356		2543061214	1	0.1784	18.95
247	000300.SH	601825.SH	20260512	9644444445		5786666667	1	0.1844	8.61
151	000300.SH	600377.SH	20260512	3815747500		496047175	1	0.0229	12.46
150	000300.SH	600372.SH	20260512	4838896630		2419448315	1	0.1206	13.47
149	000300.SH	600362.SH	20260512	2075247405		1037623703	1	0.1887	49.14
55	000300.SH	002415.SZ	20260512	9164871550		3665948620	1	0.469	34.56
53	000300.SH	002371.SZ	20260512	721603463		432962078	1	0.9319	581.45
52	000300.SH	002352.SZ	20260512	4799421659		2399710830	1	0.3283	36.96
51	000300.SH	002311.SZ	20260512	1663749970		831874985	1	0.1414	45.91
50	000300.SH	002304.SZ	20260512	1506445074		602578030	1	0.1062	47.62
49	000300.SH	002252.SZ	20260512	6637984837		5310387870	1	0.1113	5.66
48	000300.SH	002241.SZ	20260512	3545644932		2481951452	1	0.2321	25.26
47	000300.SH	002236.SZ	20260512	3286755574		1972053344	1	0.1305	17.88
46	000300.SH	002230.SZ	20260512	2311692581		2311692581	1	0.4178	48.83
45	000300.SH	002179.SZ	20260512	2118271050		1270962630	1	0.1922	40.85
44	000300.SH	002142.SZ	20260512	6603590792		3301795396	1	0.39	31.91
43	000300.SH	002074.SZ	20260512	1805457485		1083274491	1	0.1471	36.68
42	000300.SH	002050.SZ	20260512	3731477535		2238886521	1	0.422	50.92
41	000300.SH	002049.SZ	20260512	849624032		679699226	1	0.2002	79.59
40	000300.SH	002028.SZ	20260512	778405282		622724226	1	0.4572	198.35
39	000300.SH	002027.SZ	20260512	14442199726		10109539808	1	0.2257	6.03
54	000300.SH	002384.SZ	20260512	1831607532		1282125272	1	1.0415	219.46
56	000300.SH	002422.SZ	20260512	1598053372		1118637360	1	0.1387	33.5
74	000300.SH	003816.SZ	20260512	39334986100		7866997220	1	0.1389	4.77
57	000300.SH	002459.SZ	20260512	3309682191		1985809315	1	0.0817	11.12
72	000300.SH	002920.SZ	20260512	596842634		298421317	1	0.1148	103.92
71	000300.SH	002916.SZ	20260512	666740795		266696318	1	0.3256	329.79
70	000300.SH	002736.SZ	20260512	10241743060		3072522918	1	0.1231	10.82
69	000300.SH	002714.SZ	20260512	5462771029		2731385515	1	0.434	42.93
68	000300.SH	002709.SZ	20260512	2033891587		1423724111	1	0.3088	58.59
67	000300.SH	002648.SZ	20260512	3368645690		1684322845	1	0.1723	27.63
66	000300.SH	002625.SZ	20260512	2154587862		1508211503	1	0.2372	42.49
65	000300.SH	002601.SZ	20260512	2384248056		1668973639	1	0.1084	17.55
64	000300.SH	002600.SZ	20260512	7306060977		3653030489	1	0.2023	14.96
63	000300.SH	002594.SZ	20260512	5433797565		2716898783	1	0.9979	99.23
62	000300.SH	002493.SZ	20260512	9989442254		2996832676	1	0.1491	13.44
61	000300.SH	002475.SZ	20260512	7281808472		5097265930	1	1.4564	77.19
60	000300.SH	002466.SZ	20260512	1477072783		1033950948	1	0.2861	74.75
59	000300.SH	002463.SZ	20260512	1923388552		1346371986	1	0.5416	108.68
58	000300.SH	002460.SZ	20260512	1613593699		1129515589	1	0.3497	83.65
38	000300.SH	002001.SZ	20260512	3073421680		1536710840	1	0.1906	33.5
37	000300.SH	001979.SZ	20260512	9016032171		3606412868	1	0.1291	9.67
36	000300.SH	001965.SZ	20260512	6795094992		2038528498	1	0.0733	9.71
35	000300.SH	001391.SZ	20260512	12208881225		976710498	1	0.0191	5.28
16	000300.SH	000630.SZ	20260512	13409471510		8045682906	1	0.2052	6.89
15	000300.SH	000625.SZ	20260512	8272471283		4963482770	1	0.1685	9.17
14	000300.SH	000617.SZ	20260512	12642079079		2528415816	1	0.086	9.19
