INDEX_CODE	CON_CODE	TRADE_DATE	TOTAL_SHARE	FREE_SHARE_RATIO	CALC_SHARE	WEIGHT_FACTOR	WEIGHT	CLOSE
000906.SH	000001.SZ	20260513	19405918198	50	9702959099	1	0.2866	11.25
000906.SH	601021.SH	20260513	978333423	50	489166712	1	0.0597	46.48
000906.SH	600998.SH	20260513	5042470234	50	2521235117	1	0.0336	5.07
000906.SH	600999.SH	20260513	7422005272	50	3711002636	1	0.1586	16.28
000906.SH	601000.SH	20260513	5925928614	50	2962964307	1	0.037	4.75
000906.SH	601001.SH	20260513	1673700000	50	836850000	1	0.0393	17.88
000906.SH	601006.SH	20260513	20147177716	60	12088306630	1	0.172	5.42
000906.SH	601009.SH	20260513	12363567245	50	6181783623	1	0.182	11.21
000906.SH	601012.SH	20260513	7578060130	80	6062448104	1	0.2659	16.7
000906.SH	601016.SH	20260513	6440379790	60	3864227874	1	0.052	5.12
000906.SH	601018.SH	20260513	19454388399	20	3890877680	1	0.0383	3.75
000906.SH	601019.SH	20260513	2086900000	30	626070000	1	0.0124	7.52
000906.SH	601058.SH	20260513	3288100259	80	2630480207	1	0.0917	13.28
000906.SH	000002.SZ	20260513	9724196533	70	6806937573	1	0.0733	4.1
000906.SH	601059.SH	20260513	3243000000	30	972900000	1	0.0438	17.16
000906.SH	601061.SH	20260513	4900000000	11	539000000	1	0.0206	14.56
000906.SH	601066.SH	20260513	6495671035	20	1299134207	1	0.0786	23.04
000906.SH	601077.SH	20260513	8843663959	60	5306198375	1	0.0959	6.88
000906.SH	601088.SH	20260513	17854286401	20	3570857280	1	0.4238	45.2
000906.SH	601098.SH	20260513	1796000000	40	718400000	1	0.022	11.68
000906.SH	601099.SH	20260513	6816316370	100	6816316370	1	0.0673	3.76
000906.SH	601100.SH	20260513	1340820992	40	536328397	1	0.1584	112.5
000906.SH	601106.SH	20260513	6857782927	50	3428891464	1	0.0411	4.57
000906.SH	601108.SH	20260513	4643762406	70	3250633684	1	0.0752	8.81
000906.SH	600995.SH	20260513	3196005805	30	958801742	1	0.0378	15.02
000906.SH	600989.SH	20260513	7333360000	30	2200008000	1	0.1625	28.13
000906.SH	600988.SH	20260513	1663911378	100	1663911378	1	0.1789	40.95
000906.SH	600985.SH	20260513	2693258709	40	1077303484	1	0.0383	13.54
000906.SH	600886.SH	20260513	8004494262	30	2401348279	1	0.0856	13.57
000906.SH	600887.SH	20260513	6325360667	100	6325360667	1	0.4652	28.01
000906.SH	600893.SH	20260513	2665594238	50	1332797119	1	0.1704	48.7
000906.SH	600900.SH	20260513	24468217716	50	12234108858	1	0.8687	27.04
000906.SH	600901.SH	20260513	5791866431	40	2316746572	1	0.0401	6.59
000906.SH	600905.SH	20260513	28587650142	50	14293825071	1	0.1576	4.2
000906.SH	600906.SH	20260513	3245000000	40	1298000000	1	0.0227	6.66
000906.SH	600909.SH	20260513	5024209278	60	3014525567	1	0.0461	5.82
000906.SH	600918.SH	20260513	7918340996	40	3167336398	1	0.0503	6.05
000906.SH	600919.SH	20260513	18351324463	80	14681059570	1	0.4356	11.3
000906.SH	600926.SH	20260513	7249002548	70	5074301784	1	0.2213	16.61
000906.SH	600927.SH	20260513	1455555556	20	291111111	1	0.0113	14.75
000906.SH	600930.SH	20260513	41714285714	7	2920000000	1	0.0497	6.48
000906.SH	600938.SH	20260513	2990000000	80	2392000000	1	0.2273	36.19
000906.SH	600941.SH	20260513	902767867	100	902767867	1	0.2308	97.37
000906.SH	600958.SH	20260513	7469482864	70	5228638005	1	0.1355	9.87
000906.SH	600959.SH	20260513	5000717686	50	2500358843	1	0.0259	3.94
000906.SH	600967.SH	20260513	1701794667	50	850897334	1	0.0329	14.74
000906.SH	600968.SH	20260513	10165104199	20	2033020840	1	0.0222	4.15
000906.SH	600970.SH	20260513	2621819524	50	1310909762	1	0.0316	9.17
000906.SH	600977.SH	20260513	1867000000	40	746800000	1	0.0281	14.33
000906.SH	601111.SH	20260513	12492810328	30	3747843098	1	0.0695	7.06
000906.SH	601117.SH	20260513	6106877362	60	3664126417	1	0.0808	8.4
000906.SH	601118.SH	20260513	4279427797	40	1711771119	1	0.0328	7.3
000906.SH	601288.SH	20260513	319244210777	9	28731978970	1	0.5017	6.78
000906.SH	601318.SH	20260513	10660065083	100	10660065083	1	1.6627	59.4
000906.SH	601319.SH	20260513	35497756583	9	3194798092	1	0.0623	7.43
000906.SH	601328.SH	20260513	53351921593	50	26675960797	1	0.4672	6.67
000906.SH	601333.SH	20260513	5652237000	60	3391342200	1	0.0283	3.18
